time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2026-08-14 14:00:00,32.1,13.8,33,0,,290,8.3,,1015.9,,3
2026-08-14 15:00:00,32.7,13.3,31,0,,288,9.7,,1015.4,,1
2026-08-14 16:00:00,32.8,12.4,29,0,,292,10.8,,1015,,1
2026-08-14 17:00:00,32.5,11.6,28,0,,299,11.2,,1014.7,,1
2026-08-14 18:00:00,31.9,12.1,30,0,,309,11.5,,1014.4,,1
2026-08-14 19:00:00,30.7,12.6,33,0,,326,11.5,,1014.5,,1
2026-08-14 20:00:00,29,13.2,38,0,,324,10.8,,1014.6,,2
2026-08-14 21:00:00,27.7,13.6,42,0,,321,7.2,,1015,,3
2026-08-14 22:00:00,26.4,13.8,46,0,,7,17.3,,1015.5,,3
2026-08-14 23:00:00,25.1,16.2,58,0,,343,20.5,,1016.1,,3
2026-08-15 00:00:00,23.5,16.5,65,0,,335,20.9,,1016.4,,3
2026-08-15 01:00:00,22.5,15.6,65,0,,348,19.8,,1016.6,,3
2026-08-15 02:00:00,21.2,14.8,67,0,,354,17.3,,1016.8,,3
2026-08-15 03:00:00,20.1,15.5,75,0,,347,16.6,,1016.7,,3
2026-08-15 04:00:00,19.3,15.8,80,0,,342,15.1,,1017,,3
2026-08-15 05:00:00,18.8,15.7,82,0,,339,14.8,,1017.2,,3
2026-08-15 06:00:00,18.2,15.1,82,0,,335,14.8,,1017.4,,3
2026-08-15 07:00:00,18,15.1,83,0,,342,14,,1016.6,,3
2026-08-15 08:00:00,19.4,16.1,81,0,,354,14.4,,1016.9,,2
2026-08-15 09:00:00,21.1,16.7,76,0,,4,13.3,,1017.3,,3
2026-08-15 10:00:00,22.1,16.6,71,0.2,,356,14,,1017.6,,7
2026-08-15 11:00:00,22,16.5,71,0.2,,353,16.2,,1018,,7
2026-08-15 12:00:00,22.3,15.4,65,0,,2,16.9,,1018,,3
2026-08-15 13:00:00,23.4,14.9,59,0,,9,16.2,,1018,,3
2026-08-15 14:00:00,23.6,14.8,58,0,,19,15.8,,1017.7,,3
2026-08-15 15:00:00,24.2,14.9,56,0,,20,13.7,,1017.5,,3
2026-08-15 16:00:00,24,14.4,55,0,,5,13,,1017.4,,3
2026-08-15 17:00:00,23.8,13.9,54,0,,7,13,,1017.1,,3
2026-08-15 18:00:00,23.7,13.8,54,0,,22,10.8,,1016.7,,3
2026-08-15 19:00:00,23.1,13.6,55,0,,31,11.2,,1016.8,,3
2026-08-15 20:00:00,22.3,13.6,58,0,,54,8.3,,1017,,2
2026-08-15 21:00:00,20.9,14.1,65,0,,88,10.4,,1017.5,,2
2026-08-15 22:00:00,19.9,14.5,71,0,,85,10.8,,1018.2,,1
2026-08-15 23:00:00,18.8,14.1,74,0,,70,11.2,,1018.7,,1
2026-08-16 00:00:00,17.7,13.8,78,0,,78,8.6,,1019.1,,1
2026-08-16 01:00:00,16.7,13.8,83,0,,88,6.8,,1019.2,,1
2026-08-16 02:00:00,16,13.8,87,0,,73,4.3,,1019,,1
2026-08-16 03:00:00,15.4,13.9,91,0,,76,4,,1018.6,,2
2026-08-16 04:00:00,14.9,13.9,94,0,,108,2.5,,1018.5,,1
2026-08-16 05:00:00,14.6,13.6,94,0,,115,4.7,,1017.9,,3
2026-08-16 06:00:00,14.3,13.3,94,0,,142,4.3,,1018,,1
2026-08-16 07:00:00,16.1,13.6,85,0,,213,3.6,,1018,,3
2026-08-16 08:00:00,17.6,13.5,77,0,,244,3.2,,1018.4,,3
2026-08-16 09:00:00,18.9,13.7,72,0,,244,5,,1018.3,,3
2026-08-16 10:00:00,20.1,14.2,69,0,,248,6.8,,1018.3,,3
2026-08-16 11:00:00,21.3,13.7,62,0,,280,9.7,,1018.5,,3
2026-08-16 12:00:00,22.2,12.2,53,0,,301,10.4,,1018.4,,3
2026-08-16 13:00:00,23.8,10.1,42,0,,299,10.4,,1018,,3
2026-08-16 14:00:00,24.4,9.2,38,0,,309,11.9,,1017.7,,3
2026-08-16 15:00:00,24,9.9,41,0.2,,313,9.7,,1017.1,,7
2026-08-16 16:00:00,24,9.6,40,0.3,,330,10.1,,1016.7,,8
2026-08-16 17:00:00,23.7,9.3,40,0,,342,12.2,,1016.6,,3
2026-08-16 18:00:00,23,8.7,40,0,,357,13.7,,1016.2,,3
2026-08-16 19:00:00,22.1,8.6,42,0,,356,13.3,,1016,,3
2026-08-16 20:00:00,21.6,8.1,42,0,,2,11.2,,1015.9,,3
2026-08-16 21:00:00,20.4,7.4,43,0,,8,10.8,,1016.5,,3
2026-08-16 22:00:00,19.6,7.3,45,0,,11,8.6,,1016.6,,3
2026-08-16 23:00:00,18.6,8.3,51,0,,30,5.8,,1016.6,,3
2026-08-17 00:00:00,18.8,8.7,52,0,,66,5.8,,1016.5,,3
2026-08-17 01:00:00,18.5,9.3,55,0,,100,6.1,,1016.6,,3
2026-08-17 02:00:00,17.7,10.6,63,0,,37,2.2,,1016.5,,3
2026-08-17 03:00:00,16.4,14,86,0,,39,9.4,,1015.6,,3
2026-08-17 04:00:00,16.1,13.4,84,0,,73,6.8,,1015.4,,3
2026-08-17 05:00:00,16,12.7,81,0,,60,7.2,,1015.5,,3
2026-08-17 06:00:00,15,12.5,85,0,,50,4.7,,1015.7,,3
2026-08-17 07:00:00,17,11,68,0,,100,3,,1016,,3
2026-08-17 08:00:00,18,11.1,64,0,,130,3,,1016,,2
2026-08-17 09:00:00,20,12,60,0,,41,2,,1016,,2
2026-08-17 10:00:00,21,11.9,56,0,,240,2,,1016,,2
2026-08-17 11:00:00,23,12,50,0,,340,3,,1016,,2
2026-08-17 12:00:00,23,12,50,0,,280,3,,1016,,3
2026-08-17 13:00:00,24,12,47,0,,345,4,,1016,,3
2026-08-17 14:00:00,25,11.9,44,0,,210,3,,1016,,3
2026-08-17 15:00:00,25,11.9,44,0,,360,3,,1015,,3
2026-08-17 16:00:00,26,12.1,42,0,,330,2,,1015,,3
2026-08-17 17:00:00,25,12.9,47,0,,330,3,,1014,,3
2026-08-17 18:00:00,22.2,12.7,55,0,,16,5,,1015.3,,3
2026-08-17 19:00:00,21.9,13,57,0,,49,4,,1015,,3
2026-08-17 20:00:00,21.4,13.3,60,0,,76,6.8,,1014.7,,3
2026-08-17 21:00:00,20.8,13.5,63,0,,110,12.6,,1014.4,,3
2026-08-17 22:00:00,19.6,15.2,76,0,,141,13.3,,1014.4,,3
2026-08-17 23:00:00,19.4,15.9,80,0,,154,11.9,,1014.2,,3
2026-08-18 00:00:00,19.4,16.2,82,0,,163,11.2,,1013.8,,3
2026-08-18 01:00:00,21.4,14.3,64,0,,252,19.1,,1012.2,,3
2026-08-18 02:00:00,20.8,13.7,64,0,,270,19.4,,1012.1,,3
2026-08-18 03:00:00,18,14.5,80,0.7,,263,18.4,,1012,,8
2026-08-18 04:00:00,18,13.7,76,0,,265,17.3,,1011.2,,3
2026-08-18 05:00:00,17.8,14.1,79,0,,254,17.3,,1010.9,,3
2026-08-18 06:00:00,17.9,14.8,82,0,,256,17.3,,1010.7,,3
2026-08-18 07:00:00,18,16,88,0,,240,6,,1010,,3
2026-08-18 08:00:00,19,17,88,0,,250,5,,1010,,3
2026-08-18 09:00:00,19,17,88,0,,260,5,,1010,,3
2026-08-18 10:00:00,20,17,83,0,,280,7,,1010,,3
2026-08-18 11:00:00,22,16.9,73,0,,270,10,,1010,,3
2026-08-18 12:00:00,22,16,69,0,,270,11,,1010,,3
2026-08-18 13:00:00,24,14.1,54,0,,270,13,,1010,,3
2026-08-18 14:00:00,23,12.9,53,0,,290,15,,1010,,3
2026-08-18 15:00:00,23,12,50,0,,280,13,,1009,,3
2026-08-18 16:00:00,23,12,50,0,,270,12,,1009,,3
2026-08-18 17:00:00,23,12,50,0,,290,10,,1008,,3
2026-08-18 18:00:00,24.3,11.3,44,0,,286,20.2,,1008.7,,3
2026-08-18 19:00:00,23.4,10.8,45,0,,274,19.4,,1008.6,,3
2026-08-18 20:00:00,22.5,10.6,47,0,,267,17.3,,1008.9,,3
2026-08-18 21:00:00,21.5,10.6,50,0,,309,14.8,,1009.2,,3
2026-08-18 22:00:00,19.7,11.2,58,0,,4,11.5,,1009.3,,3
2026-08-18 23:00:00,18.4,13.7,74,0,,258,10.1,,1009,,3
2026-08-19 00:00:00,18,13.5,75,0,,260,8.3,,1008.6,,3
2026-08-19 01:00:00,17.5,13.8,79,0.3,,249,9.4,,1008.3,,8
2026-08-19 02:00:00,16.6,14.8,89,0.8,,237,10.1,,1007.6,,8
2026-08-19 03:00:00,16.3,14.8,91,0.7,,242,12.2,,1007,,8
2026-08-19 04:00:00,16,14.7,92,0.2,,240,12.6,,1006.6,,7
2026-08-19 05:00:00,15.7,14.6,93,0.2,,234,13.3,,1006.2,,7
2026-08-19 06:00:00,15.4,14.4,94,0.5,,248,14,,1006.1,,8
2026-08-19 07:00:00,16,12.9,82,0,,255,2,,1005,,3
2026-08-19 08:00:00,17,14.1,83,0,,260,2,,1005,,3
2026-08-19 09:00:00,18,12,68,0,,290,8,,1005,,3
2026-08-19 10:00:00,19,12,64,0,,300,6,,1004,,3
2026-08-19 11:00:00,20,12,60,0,,300,6,,1004,,1
2026-08-19 12:00:00,21,11,53,0,,300,3,,1003,,1
2026-08-19 13:00:00,22,11.1,50,0,,310,6,,1003,,1
2026-08-19 14:00:00,22,9.8,46,0.3,,260,5,,1003,,17
2026-08-19 15:00:00,22,9.8,46,0.1,,300,6,,1002,,17
2026-08-19 16:00:00,24,8.8,38,0,,280,10,,1002,,2
2026-08-19 17:00:00,24,8.8,38,0,,280,6,,1001,,3
2026-08-19 18:00:00,23.4,8.6,39,0,,263,17.6,,1001.9,,2
2026-08-19 19:00:00,22.5,8.6,41,0,,267,15.1,,1001.8,,2
2026-08-19 20:00:00,20.8,9.1,47,0,,264,13.3,,1002.1,,2
2026-08-19 21:00:00,17.4,14.1,81,0,,86,11.2,,1002.9,,2
2026-08-19 22:00:00,16.5,14.3,87,0,,21,10.8,,1003.3,,2
2026-08-19 23:00:00,15.7,14.4,92,0,,132,8.3,,1003.3,,2
